"Title","Authors","Publish Date (Year)"
"Goat Brothers","By Colton, Larry","1993"
"The Missing Person","By Grumbach, Doris","1981"
"Don't Eat Your Heart Out Cookbook","By Piscatella, Joseph C.","1983"
"When Your Corporate Umbrella Begins to Leak: A Handbook for White Collar Re-Employment","By Davis, Paul D.","1991"
"Amy Spangler's Breastfeeding : A Parent's Guide","By Spangler, Amy","1997"
"The Foundation of Leadership: Enduring Principles to Govern Our Lives","By Short, Bo","1997"
"Chicken Soup for the Soul: 101 Stories to Open the Heart and Rekindle the Spirit","By Canfield, Jack (COM) and Hansen, Mark Victor (COM)","1993"
"Journey Through Heartsongs","By Stepanek, Mattie J. T.","2001"
"In Search of Melancholy Baby","By Aksyonov, Vassily, Heim, Michael Henry, and Bouis, Antonina W.","1987"
"Christmas Cookies","By Eakin, Katherine M. and Deaman, Joane (EDT)","1986"
"The Dieter's Guide to Weight Loss During Sex","By Smith, Richard","1978"
"Germs : Biological Weapons and America's Secret War","By Miller, Judith, Engelberg, Stephen, and Broad, William J.","2001"
"The Genesis of Ethics","By Visotzky, Burton L.","1996"
"The Good Book: Reading the Bible with Mind and Heart","By Gomes, Peter J.","1998"
"Conflicting Accounts: The Creation and Crash of the Saatchi and Saatchi Advertising Empire","By Goldman, Kevin","1998"
"What Went Wrong at Enron: Everyone's Guide to the Largest Bankruptcy in U.S. History","By Fusaro, Peter C. and Miller, Ross M.","2002"
"The Addictive Organization: Why We Overwork, Cover Up, Pick Up the Pieces, Please the Boss, and Perpetuate S","By Schaef, Anne Wilson and Fassel, Diane","1990"
"From the Silent Earth: A Report on the Greek Bronze Age","By Joseph Alsop","1964"
"Panic Disorder and Its Treatment (Medical Psychiatry Series)","By Pollack, Mark H. (EDT) and Rosenbaum, J. F. (EDT)","1998"
"Henry VIII (English Monarchs Series)","By Scarisbrick, J. J.","1972"
"The Moral Intelligence of Children","By Coles, Robert","1997"
"Concordance to the New English Bible, New Testament,","By Elder, E","1965"
"Life at the Edge: Readings from Scientific American Magazine","By Gould, James L. and Gould, Carol Grant (EDT)","1989"
"Cook Healthy: Cook Quick","By Wesler, Cathy A.","1995"
"Images Of War: The Artist's Vision of World War II","By McCormick, Ken","1990"
"Becoming Soul Mates: Cultivating Spiritual Intimacy in the Early Years of Marriage","By Parrott, Les","1995"
"Care of the Soul : A Guide for Cultivating Depth and Sacredness in Everyday Life","By Moore, Thomas","1994"
"Victims of Progress","By Bodley, John H.","1975"
"Inside the Tornado: Marketing Strategies from Silicon Valley's Cutting Edge","By Moore, Geoffrey A.","1995"
"New Lands, New Men","By Goetzmann, William H.","1986"
"Reinventing Government: How the Entrepreneurial Spirit is Transforming the Public Sector (Plume)","By Osborne, David and Gaebler, Ted","1993"
"Proverbs For The People","By Price-Thompson, Tracy (EDT) and Stovall, Taressa (EDT)","2003"
"Great American Countryside","By Landi, Val","1982"
"Rob Whitlock: A Pioneer Boy in Old Ohio","By Jackson, Kathryn","1951"
"British Hospitals (Britain in Pictures)","By A. G. L. Ives","1948"
"An essay on morals","By Wylie, Philip","1947"
"Kid, You Sing My Songs of Love, and Loss, and Hope","By Wyse, Lois and Rogers, Lilla (ILT)","1991"
"Re-Inventing the Corporation: Transforming Your Job and Your Company for the New Information Society","By Naisbitt, John and Aburdene, Patricia","1985"
"A Sister Is Forever: A Blue Mountain Arts Collection for One of the Most Beautiful People You'll Ever Know","By Morris, Gary (EDT) and Blue Mountain Arts Collection (COR)","2002"
"The Practical Stylist","By Baker, Sheridan Warner","1973"
"The Periodic Kingdom: A Journey Into The Land Of The Chemical Elements (Science Masters Series)","By Atkins, P. W.","1995"
"Titanic","By Kirkland, Douglas, Marsh, Ed W., and Kirkland, Douglas (PHT)","1997"
"A Woman of Egypt","By Sadat, Jehan","1987"
"Civilization III: Instruction Manual","By Meier, Sid","2001"
"Alcatraz '46;: The anatomy of a classic prison tragedy,","By Don DeNevi, Philip Bergen","1974"
"Elvis in the Morning","By Buckley, William F.","2002"
"Fat Free, Flavor Full: Dr. Gabe Mirkin's Guide to Losing Weight and Living Longer","By Mirkin, Gabe and Rich, Diana","1995"
